regione,provincia,comune_istat,stato,pro_com_t,numero_interventi
ABRUZZO,AQ,Anversa degli Abruzzi,Chiuso,066004,1
ABRUZZO,AQ,Barete,Chiuso,066008,6
ABRUZZO,AQ,Cagnano Amiterno,Aperto,066013,2
ABRUZZO,AQ,Cagnano Amiterno,Chiuso,066013,8
ABRUZZO,AQ,Calascio,Aperto,066014,1
ABRUZZO,AQ,Calascio,Chiuso,066014,3
ABRUZZO,AQ,Campotosto,Aperto,066016,3
ABRUZZO,AQ,Campotosto,Chiuso,066016,18
ABRUZZO,AQ,Cansano,Chiuso,066018,2
ABRUZZO,AQ,Capestrano,Chiuso,066019,1
ABRUZZO,AQ,Capitignano,Aperto,066021,10
ABRUZZO,AQ,Capitignano,Chiuso,066021,67
ABRUZZO,AQ,Castel del Monte,Chiuso,066026,1
ABRUZZO,AQ,Castel di Ieri,Chiuso,066027,1
ABRUZZO,AQ,Castelvecchio Subequo,Chiuso,066031,1
ABRUZZO,AQ,Civitella Roveto,Chiuso,066036,1
ABRUZZO,AQ,Corfinio,Aperto,066041,1
ABRUZZO,AQ,Corfinio,Chiuso,066041,4
ABRUZZO,AQ,Gagliano Aterno,Chiuso,066045,2
ABRUZZO,AQ,Introdacqua,Chiuso,066048,5
ABRUZZO,AQ,"L'Aquila",Aperto,066049,2
ABRUZZO,AQ,"L'Aquila",Chiuso,066049,3
ABRUZZO,AQ,Molina Aterno,Chiuso,066055,2
ABRUZZO,AQ,Montereale,Aperto,066056,17
ABRUZZO,AQ,Montereale,Chiuso,066056,144
ABRUZZO,AQ,Montereale,Rigettato,066056,1
ABRUZZO,AQ,Navelli,Aperto,066058,1
ABRUZZO,AQ,Pacentro,Chiuso,066066,4
ABRUZZO,AQ,Pizzoli,Chiuso,066072,19
ABRUZZO,AQ,Pratola Peligna,Aperto,066075,1
ABRUZZO,AQ,Pratola Peligna,Chiuso,066075,1
ABRUZZO,AQ,Raiano,Chiuso,066077,2
ABRUZZO,AQ,San Pio delle Camere,Chiuso,066088,1
ABRUZZO,AQ,Scoppito,Chiuso,066095,3
ABRUZZO,AQ,Sulmona,Chiuso,066098,1
ABRUZZO,AQ,Tornimparte,Chiuso,066101,1
ABRUZZO,AQ,"Villa Sant'Angelo",Chiuso,066105,1
ABRUZZO,PE,Abbateggio,Chiuso,068001,1
ABRUZZO,PE,Alanno,Chiuso,068002,4
ABRUZZO,PE,Bolognano,Chiuso,068003,1
ABRUZZO,PE,Brittoli,Chiuso,068004,1
ABRUZZO,PE,Carpineto della Nora,Chiuso,068008,1
ABRUZZO,PE,Castiglione a Casauria,Aperto,068009,1
ABRUZZO,PE,Castiglione a Casauria,Chiuso,068009,8
ABRUZZO,PE,Catignano,Aperto,068010,3
ABRUZZO,PE,Catignano,Chiuso,068010,2
ABRUZZO,PE,"Città Sant'Angelo",Chiuso,068012,1
ABRUZZO,PE,Civitaquana,Aperto,068013,1
ABRUZZO,PE,Civitaquana,Chiuso,068013,2
ABRUZZO,PE,Civitella Casanova,Chiuso,068014,2
ABRUZZO,PE,Collecorvino,Chiuso,068015,3
ABRUZZO,PE,Corvara,Chiuso,068016,1
ABRUZZO,PE,Cugnoli,Chiuso,068017,2
ABRUZZO,PE,Elice,Chiuso,068018,3
ABRUZZO,PE,Farindola,Aperto,068019,4
ABRUZZO,PE,Farindola,Chiuso,068019,15
ABRUZZO,PE,Loreto Aprutino,Chiuso,068021,1
ABRUZZO,PE,Montesilvano,Chiuso,068024,1
ABRUZZO,PE,Penne,Aperto,068027,1
ABRUZZO,PE,Penne,Chiuso,068027,10
ABRUZZO,PE,Pescosansonesco,Chiuso,068029,2
ABRUZZO,PE,Pianella,Chiuso,068030,1
ABRUZZO,PE,Picciano,Chiuso,068031,6
ABRUZZO,PE,Pietranico,Chiuso,068032,2
ABRUZZO,PE,Pietranico,Rigettato,068032,1
ABRUZZO,PE,San Valentino in Abruzzo Citeriore,Chiuso,068038,4
ABRUZZO,PE,Tocco da Casauria,Chiuso,068042,1
ABRUZZO,PE,"Torre de' Passeri",Chiuso,068043,3
ABRUZZO,PE,Villa Celiera,Chiuso,068046,1
ABRUZZO,TE,Ancarano,Aperto,067002,1
ABRUZZO,TE,Ancarano,Chiuso,067002,7
ABRUZZO,TE,Arsita,Aperto,067003,1
ABRUZZO,TE,Arsita,Chiuso,067003,10
ABRUZZO,TE,Atri,Aperto,067004,2
ABRUZZO,TE,Atri,Chiuso,067004,4
ABRUZZO,TE,Basciano,Aperto,067005,1
ABRUZZO,TE,Basciano,Chiuso,067005,36
ABRUZZO,TE,Bellante,Aperto,067006,3
ABRUZZO,TE,Bellante,Chiuso,067006,10
ABRUZZO,TE,Bisenti,Aperto,067007,2
ABRUZZO,TE,Bisenti,Chiuso,067007,28
ABRUZZO,TE,Campli,Aperto,067008,12
ABRUZZO,TE,Campli,Chiuso,067008,106
ABRUZZO,TE,Campli,Rigettato,067008,1
ABRUZZO,TE,Canzano,Aperto,067009,1
ABRUZZO,TE,Canzano,Chiuso,067009,7
ABRUZZO,TE,Castel Castagna,Aperto,067010,2
ABRUZZO,TE,Castel Castagna,Chiuso,067010,35
ABRUZZO,TE,Castellalto,Aperto,067011,2
ABRUZZO,TE,Castellalto,Chiuso,067011,13
ABRUZZO,TE,Castelli,Aperto,067012,3
ABRUZZO,TE,Castelli,Chiuso,067012,42
ABRUZZO,TE,Castiglione Messer Raimondo,Aperto,067013,1
ABRUZZO,TE,Castiglione Messer Raimondo,Chiuso,067013,9
ABRUZZO,TE,Castilenti,Aperto,067014,3
ABRUZZO,TE,Castilenti,Chiuso,067014,2
ABRUZZO,TE,Cellino Attanasio,Chiuso,067015,21
ABRUZZO,TE,Cermignano,Aperto,067016,1
ABRUZZO,TE,Cermignano,Chiuso,067016,14
ABRUZZO,TE,Civitella del Tronto,Aperto,067017,5
ABRUZZO,TE,Civitella del Tronto,Chiuso,067017,66
ABRUZZO,TE,Colledara,Aperto,067018,6
ABRUZZO,TE,Colledara,Chiuso,067018,80
ABRUZZO,TE,Colonnella,Chiuso,067019,1
ABRUZZO,TE,Controguerra,Aperto,067020,1
ABRUZZO,TE,Controguerra,Chiuso,067020,1
ABRUZZO,TE,Corropoli,Chiuso,067021,10
ABRUZZO,TE,Cortino,Aperto,067022,5
ABRUZZO,TE,Cortino,Chiuso,067022,24
ABRUZZO,TE,Crognaleto,Aperto,067023,7
ABRUZZO,TE,Crognaleto,Chiuso,067023,51
ABRUZZO,TE,Fano Adriano,Aperto,067024,2
ABRUZZO,TE,Fano Adriano,Chiuso,067024,3
ABRUZZO,TE,"Isola del Gran Sasso d'Italia",Aperto,067026,7
ABRUZZO,TE,"Isola del Gran Sasso d'Italia",Chiuso,067026,73
ABRUZZO,TE,Martinsicuro,Chiuso,067047,1
ABRUZZO,TE,Montefino,Aperto,067027,2
ABRUZZO,TE,Montefino,Chiuso,067027,7
ABRUZZO,TE,Montorio al Vomano,Aperto,067028,17
ABRUZZO,TE,Montorio al Vomano,Chiuso,067028,179
ABRUZZO,TE,"Morro d'Oro",Chiuso,067029,1
ABRUZZO,TE,"Mosciano Sant'Angelo",Aperto,067030,2
ABRUZZO,TE,"Mosciano Sant'Angelo",Chiuso,067030,1
ABRUZZO,TE,Nereto,Chiuso,067031,2
ABRUZZO,TE,Notaresco,Aperto,067032,1
ABRUZZO,TE,Notaresco,Chiuso,067032,4
ABRUZZO,TE,"Penna Sant'Andrea",Aperto,067033,4
ABRUZZO,TE,"Penna Sant'Andrea",Chiuso,067033,17
ABRUZZO,TE,Pietracamela,Aperto,067034,2
ABRUZZO,TE,Pietracamela,Chiuso,067034,1
ABRUZZO,TE,Pineto,Chiuso,067035,1
ABRUZZO,TE,Rocca Santa Maria,Aperto,067036,3
ABRUZZO,TE,Rocca Santa Maria,Chiuso,067036,30
ABRUZZO,TE,Roseto degli Abruzzi,Aperto,067037,2
ABRUZZO,TE,Roseto degli Abruzzi,Chiuso,067037,2
ABRUZZO,TE,"Sant'Egidio alla Vibrata",Chiuso,067038,6
ABRUZZO,TE,"Sant'Omero",Chiuso,067039,2
ABRUZZO,TE,Teramo,Aperto,067041,26
ABRUZZO,TE,Teramo,Chiuso,067041,239
ABRUZZO,TE,Torano Nuovo,Chiuso,067042,4
ABRUZZO,TE,Torricella Sicura,Aperto,067043,5
ABRUZZO,TE,Torricella Sicura,Chiuso,067043,67
ABRUZZO,TE,Tossicia,Aperto,067045,7
ABRUZZO,TE,Tossicia,Chiuso,067045,40
ABRUZZO,TE,Valle Castellana,Aperto,067046,4
ABRUZZO,TE,Valle Castellana,Chiuso,067046,57
LAZIO,RI,Accumoli,Aperto,057001,15
LAZIO,RI,Accumoli,Chiuso,057001,26
LAZIO,RI,Amatrice,Aperto,057002,57
LAZIO,RI,Amatrice,Chiuso,057002,192
LAZIO,RI,Antrodoco,Aperto,057003,8
LAZIO,RI,Antrodoco,Chiuso,057003,74
LAZIO,RI,Belmonte in Sabina,Aperto,057005,1
LAZIO,RI,Borbona,Aperto,057006,8
LAZIO,RI,Borbona,Archiviato,057006,1
LAZIO,RI,Borbona,Chiuso,057006,38
LAZIO,RI,Borgo Velino,Aperto,057008,4
LAZIO,RI,Borgo Velino,Chiuso,057008,10
LAZIO,RI,Cantalice,Aperto,057009,4
LAZIO,RI,Cantalice,Chiuso,057009,14
LAZIO,RI,Casaprota,Chiuso,057011,1
LAZIO,RI,Casperia,Chiuso,057012,1
LAZIO,RI,"Castel Sant'Angelo",Aperto,057015,6
LAZIO,RI,"Castel Sant'Angelo",Chiuso,057015,17
LAZIO,RI,Castelnuovo di Farfa,Aperto,057014,1
LAZIO,RI,Cittaducale,Aperto,057016,3
LAZIO,RI,Cittaducale,Chiuso,057016,42
LAZIO,RI,Cittareale,Aperto,057017,8
LAZIO,RI,Cittareale,Chiuso,057017,53
LAZIO,RI,Collevecchio,Chiuso,057021,2
LAZIO,RI,Concerviano,Aperto,057023,1
LAZIO,RI,Concerviano,Chiuso,057023,2
LAZIO,RI,Contigliano,Aperto,057025,2
LAZIO,RI,Contigliano,Chiuso,057025,3
LAZIO,RI,Cottanello,Aperto,057026,1
LAZIO,RI,Cottanello,Chiuso,057026,1
LAZIO,RI,Fiamignano,Aperto,057028,2
LAZIO,RI,Fiamignano,Chiuso,057028,8
LAZIO,RI,Forano,Chiuso,057029,1
LAZIO,RI,Greccio,Chiuso,057031,3
LAZIO,RI,Leonessa,Aperto,057033,41
LAZIO,RI,Leonessa,Chiuso,057033,185
LAZIO,RI,Magliano Sabina,Aperto,057035,1
LAZIO,RI,Magliano Sabina,Chiuso,057035,3
LAZIO,RI,Marcetelli,Aperto,057036,1
LAZIO,RI,Marcetelli,Chiuso,057036,7
LAZIO,RI,Micigliano,Chiuso,057037,4
LAZIO,RI,Mompeo,Chiuso,057038,1
LAZIO,RI,Monte San Giovanni in Sabina,Chiuso,057043,2
LAZIO,RI,Pescorocchiano,Chiuso,057049,4
LAZIO,RI,Petrella Salto,Chiuso,057050,2
LAZIO,RI,Poggio Bustone,Aperto,057051,2
LAZIO,RI,Poggio Bustone,Chiuso,057051,9
LAZIO,RI,Poggio Mirteto,Chiuso,057053,1
LAZIO,RI,Poggio Moiano,Aperto,057054,1
LAZIO,RI,Poggio Moiano,Chiuso,057054,2
LAZIO,RI,Poggio Nativo,Chiuso,057055,1
LAZIO,RI,Posta,Aperto,057057,13
LAZIO,RI,Posta,Chiuso,057057,50
LAZIO,RI,Rieti,Aperto,057059,19
LAZIO,RI,Rieti,Chiuso,057059,85
LAZIO,RI,Rivodutri,Aperto,057060,1
LAZIO,RI,Rivodutri,Chiuso,057060,3
LAZIO,RI,Rocca Sinibalda,Chiuso,057062,1
LAZIO,RI,Roccantica,Chiuso,057061,1
LAZIO,RI,Salisano,Aperto,057063,1
LAZIO,RI,Salisano,Chiuso,057063,1
LAZIO,RI,Selci,Chiuso,057065,1
LAZIO,RI,Tarano,Chiuso,057067,7
LAZIO,RI,Torri in Sabina,Chiuso,057070,2
LAZIO,RI,Torricella in Sabina,Chiuso,057069,1
LAZIO,RM,Filacciano,Chiuso,058037,1
LAZIO,VT,Orte,Chiuso,056042,1
MARCHE,AN,Ancona,Aperto,042002,2
MARCHE,AN,Ancona,Chiuso,042002,4
MARCHE,AN,Arcevia,Chiuso,042003,4
MARCHE,AN,Belvedere Ostrense,Chiuso,042005,2
MARCHE,AN,Castelbellino,Aperto,042008,1
MARCHE,AN,Castelbellino,Chiuso,042008,2
MARCHE,AN,Castelfidardo,Chiuso,042010,1
MARCHE,AN,Castelleone di Suasa,Chiuso,042011,3
MARCHE,AN,Castelplanio,Aperto,042012,1
MARCHE,AN,Castelplanio,Archiviato,042012,1
MARCHE,AN,Castelplanio,Chiuso,042012,6
MARCHE,AN,"Cerreto d'Esi",Aperto,042013,2
MARCHE,AN,"Cerreto d'Esi",Archiviato,042013,2
MARCHE,AN,"Cerreto d'Esi",Chiuso,042013,31
MARCHE,AN,Cupramontana,Aperto,042016,3
MARCHE,AN,Cupramontana,Chiuso,042016,14
MARCHE,AN,Fabriano,Aperto,042017,17
MARCHE,AN,Fabriano,Archiviato,042017,3
MARCHE,AN,Fabriano,Chiuso,042017,77
MARCHE,AN,Falconara Marittima,Chiuso,042018,1
MARCHE,AN,Filottrano,Aperto,042019,1
MARCHE,AN,Filottrano,Chiuso,042019,6
MARCHE,AN,Genga,Aperto,042020,3
MARCHE,AN,Genga,Archiviato,042020,3
MARCHE,AN,Genga,Chiuso,042020,16
MARCHE,AN,Jesi,Chiuso,042021,3
MARCHE,AN,Loreto,Chiuso,042022,1
MARCHE,AN,Maiolati Spontini,Chiuso,042023,7
MARCHE,AN,Mergo,Chiuso,042024,2
MARCHE,AN,Monte Roberto,Aperto,042029,1
MARCHE,AN,Monte Roberto,Chiuso,042029,4
MARCHE,AN,Monte San Vito,Chiuso,042030,3
MARCHE,AN,"Morro d'Alba",Aperto,042031,1
MARCHE,AN,Offagna,Chiuso,042033,1
MARCHE,AN,Osimo,Aperto,042034,1
MARCHE,AN,Ostra,Aperto,042035,1
MARCHE,AN,Ostra,Chiuso,042035,1
MARCHE,AN,Poggio San Marcello,Chiuso,042037,2
MARCHE,AN,Polverigi,Chiuso,042038,1
MARCHE,AN,Rosora,Chiuso,042040,2
MARCHE,AN,San Marcello,Archiviato,042041,1
MARCHE,AN,San Marcello,Chiuso,042041,1
MARCHE,AN,San Paolo di Jesi,Chiuso,042042,3
MARCHE,AN,Santa Maria Nuova,Aperto,042043,1
MARCHE,AN,Santa Maria Nuova,Archiviato,042043,1
MARCHE,AN,Santa Maria Nuova,Chiuso,042043,1
MARCHE,AN,Sassoferrato,Aperto,042044,3
MARCHE,AN,Sassoferrato,Archiviato,042044,1
MARCHE,AN,Sassoferrato,Chiuso,042044,25
MARCHE,AN,Serra San Quirico,Aperto,042047,1
MARCHE,AN,Serra San Quirico,Archiviato,042047,1
MARCHE,AN,Serra San Quirico,Chiuso,042047,10
MARCHE,AN,"Serra de' Conti",Chiuso,042046,3
MARCHE,AN,Sirolo,Aperto,042048,1
MARCHE,AN,Staffolo,Aperto,042049,4
MARCHE,AN,Staffolo,Chiuso,042049,8
MARCHE,AP,Acquasanta Terme,Aperto,044001,89
MARCHE,AP,Acquasanta Terme,Archiviato,044001,8
MARCHE,AP,Acquasanta Terme,Chiuso,044001,175
MARCHE,AP,Acquaviva Picena,Aperto,044002,2
MARCHE,AP,Acquaviva Picena,Chiuso,044002,3
MARCHE,AP,Appignano del Tronto,Aperto,044005,17
MARCHE,AP,Appignano del Tronto,Archiviato,044005,1
MARCHE,AP,Appignano del Tronto,Chiuso,044005,31
MARCHE,AP,Arquata del Tronto,Aperto,044006,51
MARCHE,AP,Arquata del Tronto,Chiuso,044006,62
MARCHE,AP,Ascoli Piceno,Aperto,044007,131
MARCHE,AP,Ascoli Piceno,Archiviato,044007,16
MARCHE,AP,Ascoli Piceno,Chiuso,044007,301
MARCHE,AP,Carassai,Aperto,044010,2
MARCHE,AP,Carassai,Chiuso,044010,13
MARCHE,AP,Castel di Lama,Aperto,044011,26
MARCHE,AP,Castel di Lama,Archiviato,044011,2
MARCHE,AP,Castel di Lama,Chiuso,044011,73
MARCHE,AP,Castel di Lama,Rigettato,044011,1
MARCHE,AP,Castignano,Aperto,044012,18
MARCHE,AP,Castignano,Archiviato,044012,1
MARCHE,AP,Castignano,Chiuso,044012,36
MARCHE,AP,Castorano,Aperto,044013,3
MARCHE,AP,Castorano,Chiuso,044013,18
MARCHE,AP,Colli del Tronto,Aperto,044014,12
MARCHE,AP,Colli del Tronto,Chiuso,044014,10
MARCHE,AP,Comunanza,Aperto,044015,25
MARCHE,AP,Comunanza,Archiviato,044015,1
MARCHE,AP,Comunanza,Chiuso,044015,51
MARCHE,AP,Cossignano,Aperto,044016,5
MARCHE,AP,Cossignano,Chiuso,044016,28
MARCHE,AP,Cupra Marittima,Chiuso,044017,1
MARCHE,AP,Folignano,Aperto,044020,13
MARCHE,AP,Folignano,Archiviato,044020,1
MARCHE,AP,Folignano,Chiuso,044020,44
MARCHE,AP,Force,Aperto,044021,18
MARCHE,AP,Force,Archiviato,044021,2
MARCHE,AP,Force,Chiuso,044021,44
MARCHE,AP,Grottammare,Aperto,044023,3
MARCHE,AP,Grottammare,Chiuso,044023,1
MARCHE,AP,Maltignano,Aperto,044027,8
MARCHE,AP,Maltignano,Archiviato,044027,1
MARCHE,AP,Maltignano,Chiuso,044027,21
MARCHE,AP,Massignano,Chiuso,044029,1
MARCHE,AP,Monsampolo del Tronto,Aperto,044031,4
MARCHE,AP,Monsampolo del Tronto,Chiuso,044031,4
MARCHE,AP,Montalto delle Marche,Aperto,044032,19
MARCHE,AP,Montalto delle Marche,Archiviato,044032,1
MARCHE,AP,Montalto delle Marche,Chiuso,044032,21
MARCHE,AP,Montedinove,Aperto,044034,10
MARCHE,AP,Montedinove,Archiviato,044034,1
MARCHE,AP,Montedinove,Chiuso,044034,14
MARCHE,AP,"Montefiore dell'Aso",Aperto,044036,4
MARCHE,AP,"Montefiore dell'Aso",Chiuso,044036,3
MARCHE,AP,Montegallo,Aperto,044038,27
MARCHE,AP,Montegallo,Archiviato,044038,2
MARCHE,AP,Montegallo,Chiuso,044038,65
MARCHE,AP,Montemonaco,Aperto,044044,27
MARCHE,AP,Montemonaco,Archiviato,044044,2
MARCHE,AP,Montemonaco,Chiuso,044044,67
MARCHE,AP,Monteprandone,Chiuso,044045,5
MARCHE,AP,Offida,Aperto,044054,19
MARCHE,AP,Offida,Chiuso,044054,48
MARCHE,AP,Palmiano,Aperto,044056,1
MARCHE,AP,Palmiano,Archiviato,044056,2
